normales,especiales,observacion,
,FUN C160 D,,
FUN C161 I,,,
,FUN C162 D,,
FUN C163 I,,,
,FUN C164 D,,
FUN C165 I,,,
,FUN C166 D,,
FUN C167 I,,,
,FUN C168 D,,
FUN C169 I,,,
,FUN C170D,,
FUN C171 I,,,
,FUN C176 D,,
FUN C177 I,,,
,FUN C182 D,,
FUN C183 I,,,
,FUN C184 D,,
FUN C185 I,,,
,FUN C190D,,
FUN C191 I,,,
,FUN C192 D,,
FUN C193 I,,,
,FUN C197 I,,
FUN C198 D,,,
,FUN C199 I,,
FUN C200 D,,,
,FUN C201 I,,
FUN C202 D,,,
,FUN C203 I,,
FUN C204 I,,,
,FUN C205 I,,
FUN C206 D,,,
,FUN C207I,,
FUN C208D,,,
,FUN C209I,,
FUN C210D,,,
,FUN L101,,
FUN L102,,,
,FUN T/6799,,
,FUN T6106,,
,FUN T6108,,
,FUN T6110,,
,FUN T6111,,
,FUN T6112,,
,FUN T6114,,
,FUN T6116,,
,FUN T6119,,
,FUN T6120,,
,FUN T6121,,
,FUN T6122,,
,FUN T6124,,
,FUN T6125,,
,FUN T6126,,
,FUN T6130,,
,FUN T6131,,
,FUN T6132,,
,FUN T6133,,
,FUN T6208,,
,FUN T6209,,
,FUN T6210,,
,FUN T6211,,
,FUN T6213,,
,FUN T6214,,
,FUN T6215,,
,FUN T6216,,
,FUN T6217,,
,FUN T6218,,
,FUN T6219,,
,FUN T6220,,
,FUN T6221,,
,FUN T6222,,
,FUN T6223,,
,FUN T6224,,
,FUN T6225,,
,FUN T6319,,
,FUN T6320,,
,FUN T6321,,
,FUN T6322,,
,FUN T6323,,
,FUN T6324,,
,FUN T6326,,
,FUN T6331,,
,FUN T6332,,
,FUN T6333,,
,FUN T6402,,
,FUN T6403,,
,FUN T6406,,
,FUN T6407,,
,FUN T6409,,
,FUN T6412,,
,FUN T6413,,
,FUN T6414,,
,FUN T6415,,
,FUN T6416,,
,FUN T6417,,
,FUN T6418,,
,FUN T6419,,
,FUN T6420,,
,FUN T6422,,
,FUN T6423,,
,FUN T6424,,
,FUN T6426,,
,FUN T6429,,
,FUN T6430,,
,FUN T6501,,
,FUN T6501,,
,FUN T6502,,
,FUN T6503,,
,FUN T6506,,
,FUN T6507,,
,FUN T6508,,
,FUN T6509,,
,FUN T6510,,
,FUN T6511,,
,FUN T6512,,
,FUN T6513,,
,FUN T6514,,
,FUN T6515,,
,FUN T6516,,
,FUN T6764,,
,FUN T6765,,
,FUN T6766,,
,FUN T6767,,
,FUN T6768,,
,FUN T6769,,
,FUN T6770,,
,FUN T6771,,
,FUN T6772,,
,FUN T6774,,
,FUN T6775,,
,FUN T6776,,
,FUN T6777,,
,FUN T6778,,
,FUN T6779,,
,FUN T6780,,
,FUN T6781,,
,FUN T6782,,
,FUN T6783,,
,FUN T6784,,
,FUN T6785,,
,FUN T6786,,
,FUN T6790,,
,FUN T6791,,
,FUN T6794,,
,FUN T6796,,
,FUN T6798,,
,FUN T6801,,
,FUN T6802,,
,FUN T6804,,
,FUN T6805,,
,FUN T6809,,
,FUN T6810,,
,FUN T6811,,
,FUN T6850,,
,FUN T6851,,
,FUN T6852,,
,FUN T6900,,
,FUN T6903,,
,FUN T6906,,
,FUN T6907,,
,FUN T6908,,
,FUN T6909,,
,FUN T6909,,
,FUN T6910,,
,FUN T6911,,
,FUN T6912,,
,FUN T6913,,
,FUN T6914,,
,FUN T6915,,
,FUN T6916,,
,FUN T6922,,
,FUN T6923,,
,FUN T6924,,
,DIN 603,,
,DIN 606,,
,DIN 601,,
,DIN 607,,
DIN 628,,,
,DIN 801,,
,DIN 806,,
,DIN 807,,
,DIN 810,,
,DIN 812,,
,DIN 813,,
,DIN 814,,
,DIN 808,,
DIN 817,,,
,DIN 818,,
DIN 819,,,
,DIN 820,,
DIN 821,,,
DIN 824,,,
DIN 825,,,
DIN 830,,,
DIN 833,,,
,DIN 834,,
,DIN 835,pendiente de aprobacion,
DIN 836,,pendiente de aprobacion,
DIN 837,,,
,DIN 838,,
,DIN 840,,
,DIN 841,,
,DIN 842,,
DIN 843,,,
DIN 849,,pendiente de aprobacion,
,DIN 744,,
DIN 745,,,
DIN 746,,,
DIN 747,,,
DIN 748,,,
DIN 3001,,,
DIN 3002,,,
DIN 3003,,,
DIN 3004,,,
DIN 3005,,,
DIN 3006,,,
DIN 3007,,,
DIN 3009,,,
DIN 3012,,,
DIN 3015,,,
DIN 3016,,,
DIN 3017,,,
DIN 3018,,,
DIN 3019,,,
DIN 3021,,,
DIN 3022,,,
DIN 3023,,,
DIN 3024,,,
DIN 3025,,,
DIN 3026,,,
DIN 3027,,,
DIN 3028,,,
DIN 3029,,,
DIN 3030,,,
DIN 3031,,,
DIN 3033,,,
DIN 1001,,,
DIN 1004,,,
DIN 1005,,,
DIN 1011,,,
DIN 1012,,,
DIN 1016,,,
DIN 1027,,,
DIN 1029,,,
DIN 1036,,,
DIN 1038,,,
DIN 1039,,,
DIN 1040,,,
DIN 1042,,,
DIN 1044,,,
DIN 1051,,,
DIN 1054,,,
DIN 1059,,,
DIN 1065,,,
DIN 1066,,,
DIN 1008,,,
DIN 1009,,,
DIN 1010,,,
DIN 1014,,,
DIN 1015,,,
DIN 1017,,,
DIN 1019,,,
DIN 1020,,,
DIN 1021,,,
DIN 1022,,,
DIN 1023,,,
DIN 1024,,,
DIN 1025,,,
DIN 1026,,,
DIN 1034,,,
DIN 1043,,,
DIN 1045,,,
DIN 2001,,,
DIN 2002,,,
DIN 2003,,,
DIN 2005,,,
DIN 2006,,,
DIN 2009,,,
DIN 2010,,,
DIN 2013,,,
DIN 2014,,,
DIN 2024,,,
DIN 2025,,,
DIN 2026,,,
DIN 2027,,,
DIN 2029,,,
DIN 1049,,,
DIN 5001,,,
DIN 5002,,,
DIN 5003,,,
DIN 5005,,,
DIN 5006,,,
DIN 5007,,,
DIN 5011,,,
,DIN 848,,
DIN 850,,,
DIN 867,,,
DIN 869,,,
DIN 870,,,
GAC 50104,,,
GAC 50125,,,
GAC 60041,,revisar coincidencia,
GAC 60042,,*,
GAC 60070-19,,,
GAC 70133,,,
GAC 70038,,,
GAC 70041,,,
GAC 90001,,,
GAC 60079,,,
GAC 50168,,,
GAC 70208,,,
GAC 70209,,,
GAC 70219,,,
GAC 70218,,,
GAC 70213,,,
GAC 70214,,,
GAC 70215,,,
GAC 70210,,,
GAC 70211,,,
GAC 70212,,,
GAC 70216,,,
GAC 90070,,,
,GAC 50193,,
,GAC 50191,,
,GAC 50194,,
,GAC 70222,,
,GAC 50167,,
,GAC 50188,,
,GAC 70226,,
,GAC 70221,,
,GAC 30020,,
,GAC 30021,,
,GAC 30022,,
,GAC 70227,,
,GAC 50200,,
,GAC 70224,,
,GAC 70230,,
,GAC 70231,,
,GAC 70234,,
,GAC CH-101,,
,GAC CH-102,,
